codigo;articulo;unidades;venta
1730;"RODABALLO 1,8 KG";4;1008
1330;"'Domaine Roc de L''Abbaye Tradition 2023 - Sauvignon Blanc (A.O.C. Pouilly-Fumé)'";17;1002
1003;"pierre damoy clos du beze grand cru";1;1000
1253;"Xurxo 69 Arrobas 2021 - Albariño (D.O. Rias Baixas)";9;990
602;"COPA DEL DIA";34;984.5
1298;"Filipa Pato Nossa Calcário Bical 2023 - Bical (Portugal)";15;970
2037;"Antoine Jobard 2024 Mersault Blagny";4;970
1876;"Armand Heitz Chassagne Montrachet 1er cru Morgeot MG";2;960
1394;"Chateau de Pibarnon 2022 - Monastrell, Cinsault (A.O.C. Bandol)";12;935
1872;"Coche-Dury Bourgogne Blanc";3;930
1723;"RODABALLO 1,1 KG";6;924
1515;"LIMONADA MANGO";74;919.1
1576;"PARGO 1,4 KG";5;910
612;"POLO Coco";138;901.8
1201;"Billecart-Salmon Rosé Magnum 150cl - Brut";2;900
1206;"Bollinger Cuvee Special - Brut";6;900
1336;"Domaine Sylvain Bzikot, Puligny-Montrachet La Rouselle 2022 - Chardonnay";5;900
1368;"Antoine Sanzay, Salles Martin 2021 - Chenin Blanc (A.O.C. Saumur)";8;880
1388;"Clos Cibonne Cuvee Prestige Carolin 2021 - Tibouren (A.O.C. Provence)";8;880
1192;"Charles Heidsieck - Brut";9;876
1261;"Xosè Lois Sebio Village Blanco 2023 - Albariño, Treixadura (D.O. Ribeiro)";19;855
81;"MOJITO";56;848
1019;"ALFONSINO ( Splendid Alfonsino)";6;846
1210;"'Frédéric Savart L''Ouverture Blanc de Noirs - Brut'";6;840
1473;"Nicole Lamarche Echézeaux Grand Cru 2021 - Pinot Noir (A.O.C. Echézeaux)";2;840
129;"GIN BASIL SMASH";53;833.6
162;"CAFE CAPUCCINO";230;832
656;"DORADA (seabream)";6;832
1332;"'Château des Rontets Pouilly-Fuissé ''Les Birbettes'' 2022 - Chardonnay'";8;832
1247;"Carlos Sanchez, Los montes bellos del buradon 2021 - Viura (D.O. Rioja)";5;830
1877;"Benoit Ente Puligny Montrachet MG";1;830
916;"2020 Grand Cru Clos de La Roche Vielles Vignes Domaine Ponsot";1;800
1977;"Ossian MG";5;800
2084;"Ulysse Colin";1;800
609;"POLO Limon";108;798.3
539;"HIERBAS CAN VIDAL";378;786
2085;"Thibault Liger Charmes Chambertin 2022";1;780
1396;"Ses Rotes Rosado Callet 2024 - Callet (A.O.C. Mallorca)";17;765
92;"SPICY MARGARITA";51;752
950;"LIMONADA POMELO";71;751.4
864;"2021 69 arrobas  Xurxo";7;750
1340;"Armand Heitz Saint Romain Combe Bazin 2020 - Chardonnay (A.O.C. Saint-Romain)";5;750
1553;"Benoit Ente Puligny Montrachet 2021 MG";1;750
989;"SALPICON MARISCO";25.5;742.4
167;"ICED LATTE";189;736.65
1516;"LIMONADA COCO";60;733.2
1677;"LENGUADO 1,5 KG";4;721.5
1239;"Olivier Rivière Le Blanc 2023 - Viura (D.O. Rioja)";15;721
1250;"Attis Embaixador 2021 - Albariño (D.O. Rias Baixas)";10;720
1284;"Suertes del Marqués Edición 3 2024 - Listan Blanco (D.O. Islas Canarias)";4;720
1907;"Domaine Duroché Gevrey Chambertin 1er Cru Combe au Moine";2;720
236;"BELVEDERE";53;716
1513;"SALMONETE";6.3;702
1771;"ROTJA 0,9 KG";6;702
742;"DAVID DUBAND, GRAND CRU CLOS DE VOUGEOT 2021";1;700
1533;"CASI PALOMA";47;691.9
1959;"LANGOSTA 1,1 KG";3.1;682
1537;"CARAJILLO";41;676
160;"CAFE CON LECHE";230;668.85
72;"HUGO";49;658
456;"ALHAMBRA";115;649.8
74;"MOSCOW MULE";56;648
2049;"VIRREY 0'9 KG";4;648
95;"PORN STAR MARTINI";49;646.5
1069;"Contesse de Cherisey Mersault Blagny Premier Cru La Genelotte MG";1;640
1544;"Pierre y Marianne Domaine Duroche Echezeaux";1;640
1911;"Pierre & Marianne Duroché Grand Cru";1;640
1244;"Oxer Bastegieta, Kalamity 2023 - Viura, Calagreño (D.O. Rioja)";3;630
1270;"Ismael González Sin Nombre 2022 - Verdejo (D.O. Castilla y León)";9;630
1295;"Chacra Patagonia 2022 - Chardonnay (Argentina)";5;625
1578;"PARGO 1,6 KG";3;624
1451;"Domaine Pierre Roch Ladoix 2018 - Pinot Noir (A.O.C. Ladoix)";2;620
1551;"Thibault Liger Belair Charmes Chambertin";1;620
1920;"La Closerie Les beguines";3;620
1734;"RODABALLO 2,2 KG";2;616
1506;"tinto rayos uva";53;612
1966;"LANGOSTA 1,8 KG";2;612
1170;"DADOS RAYA";29.5;602.8
161;"CAFE AMERICANO";233;601.2
1312;"'Domaine Pattes Loup Thomas Pico Vent d''Ange 2022 - Chardonnay (A.O.C. Chablis)'";5;600
1352;"Comtesse de Cherissey, Mersault Bois De Blagny 2022 - Chardonnay (A.O.C. Meursault)";2;600
1371;"Aline Beaune 1er Cru Montagny 2022 - Chardonnay (A.O.C. Montagny)";5;600
1904;"Domaine Ponsot Charmes Chambertin";1;600
2042;"Majuelo Chiviritero MG";4;600
1779;"ROTJA 1,7 KG";3;596.7
1264;"Quinta Muradella Muradella Blanco 2021 - Doña Blanca, Treixadura, Verdello (D.O. Monterrei)";6;585
1577;"PARGO 1,5 KG";3;585
1627;"DORADA 1,5 KG";3;585
1673;"LENGUADO 1,1 KG";4;572
1191;"Christoffe Cuvée Réserve - Brut";5;570
1217;"Emmanuel Brochet Selected - Extra Brut";3;570
